Name,Assignee,Blocked by,Blocking,Date,Estimates,Parent item,Priority,Status,Sub-item,Tags,Tags 2
edp photos,,,,"October 19, 2024",,,,Not started,,,
fevicol,,,,"October 18, 2024",,,,Not started,,,
scale,,,,"October 18, 2024",,,,Not started,,,
edp project,,,,"October 22, 2024",,,,Not started,,,
ear pods,,,,"October 21, 2024",,,,Not started,,,
edp photo,,,,"October 21, 2024",,,,Not started,,,
hvco viva,,,,"October 22, 2024",,,,Not started,,,
edp viva,,,,"October 23, 2024",,,,Not started,,,
edp viva,,,,"October 24, 2024",,,,Not started,,,
edp heiarchy,,,,"October 22, 2024",,,,Not started,,,
edp punch holes,,,,"October 22, 2024",,,,Not started,,,
edp project,,,,"October 23, 2024",,,,Not started,,,
"java test , viva",,,,"October 24, 2024",,,,Not started,,,
java assignment,,,,"October 24, 2024",,,,Not started,,,
dbms lab file,,,,"October 25, 2024",,,,Not started,,,
java practical,,,,"November 8, 2024 9:00 AM (GMT+5:30) → 9:30 AM",,,,Not started,,,
java lab file,,,,"October 25, 2024",,,,Not started,,,
java psda,,,,"October 25, 2024",,,,Not started,,,
java exam,,,,"November 19, 2024 10:00 AM (GMT+5:30) → 1:00 PM",,,,Not started,,,
dbms exam,,,,"November 20, 2024 10:00 AM (GMT+5:30) → 1:00 PM",,,,Not started,,,
french exam,,,,"December 4, 2024 10:00 AM (GMT+5:30) → 1:00 PM",,,,Not started,,,
bs exam,,,,"December 6, 2024 10:00 AM (GMT+5:30) → 1:00 PM",,,,Not started,,,
java,,,,"October 1, 2024 9:00 AM (GMT+5:30) → 10:00 AM",,,,Not started,,,
dbms,,,,"October 1, 2024 10:15 AM (GMT+5:30) → 11:00 AM",,,,Not started,,,
completion certificate,,,,"October 4, 2024",,,,Not started,,,
hvco project file,,,,"October 4, 2024",,,,Not started,,,
hvco ppt,,,,"October 19, 2024",,,,Not started,,,
end sap bs,,,,"October 21, 2024",,,,Not started,,,
edp project,,,,"October 21, 2024",,,,Not started,,,
last working day,,,,"October 25, 2024",,,,Not started,,,
